title,body,labels
"[P0] Remove withAllowDuplicates(true) or add idempotency guard to payments.js","## Problem\n`payments.js` calls GP charge with `withAllowDuplicates(true)`, which disables the payment gateway's own duplicate-transaction detection. Combined with the Redis-down idempotency gap, this removes both layers of duplicate charge protection.\n\n## Acceptance Criteria\n- [ ] Remove `withAllowDuplicates(true)` from the GP charge call, or document why it's required and add an alternative guard\n- [ ] If removal causes GP errors, investigate the root cause and implement a narrower fix\n- [ ] Add a test case verifying duplicate charge prevention\n\n## References\n- `zoho-middleware/routes/payments.js`\n- system-design-assessment.md §2.3","priority:critical,area:payments,source:system-design"
"[P0] Add in-process idempotency fallback for Redis-down checkout","## Problem\nWhen Redis is unavailable, the idempotency guard in `checkout.js` falls through — `cache.get()` returns null, so the same idempotency key can be processed multiple times, potentially resulting in duplicate charges.\n\n## Proposed Solution\nAdd an in-process `Map` (with 5-minute TTL auto-cleanup) as a fallback idempotency store. Log `WARN` when the fallback is used so ops knows protection is degraded.\n\n## Acceptance Criteria\n- [ ] In-process Map catches duplicate idempotency keys when Redis is down\n- [ ] Entries auto-expire after 5 minutes to prevent memory leaks\n- [ ] `WARN` log emitted when fallback path is taken during checkout\n- [ ] Unit test covering Redis-down + duplicate key scenario\n\n## References\n- `zoho-middleware/routes/checkout.js`\n- system-design-assessment.md §2.2","priority:critical,area:payments,source:system-design"
"[P1] Enable Railway multi-replica + health check configuration","## Problem\nThe middleware runs as a single Railway container. A crash during checkout could leave a GP charge completed but the Zoho order uncreated, with no void handler executing.\n\n## Proposed Solution\nConfigure Railway for 2+ replicas and set `/health` as the health check endpoint. The existing Redis-based architecture already supports multi-instance deployment.\n\n## Acceptance Criteria\n- [ ] Railway configured for minimum 2 replicas\n- [ ] Health check endpoint configured with appropriate failure thresholds\n- [ ] Document the Railway scaling configuration in DEPLOYMENT.md\n\n## References\n- system-design-assessment.md §2.1","priority:high,area:infrastructure,source:system-design"
"[P1] Implement void retry queue for failed void-on-failure attempts","## Problem\nWhen void-on-failure triggers and the void itself fails (network issue, GP outage), an alert email is sent but there is no automated retry. The charge remains on the customer's card requiring manual intervention.\n\n## Proposed Solution\nWrite failed void attempts to a Redis list (void retry queue) and process them via a cron job every 5 minutes. Add an admin endpoint to surface unresolved charges.\n\n## Acceptance Criteria\n- [ ] Failed void attempts are queued in Redis with transaction details\n- [ ] Cron job retries queued voids every 5 minutes with exponential backoff\n- [ ] `GET /api/admin/pending-voids` endpoint returns unresolved charges\n- [ ] Alert email sent if a void remains unresolved after 3 retry attempts\n- [ ] Queue entries expire after 72 hours\n\n## References\n- `zoho-middleware/routes/checkout.js`\n- system-design-assessment.md §2.4","priority:high,area:payments,source:system-design"
"[P1] Add CSP headers to kiosk.html, batch.html, brewpad.html","## Problem\nMain customer-facing pages have Content Security Policy headers, but the three internal tools (kiosk, batch, brewpad) do not. Kiosk handles payment data and is web-accessible.\n\n## Acceptance Criteria\n- [ ] CSP meta tags added to kiosk.html, batch.html, brewpad.html\n- [ ] X-Frame-Options: DENY added to prevent clickjacking\n- [ ] Verify no legitimate scripts are blocked by the new CSP\n\n## References\n- system-design-assessment.md §2.7","priority:high,area:security,source:system-design"
"[P2] Implement circuit breaker for Zoho API calls","## Problem\nWhen Zoho is fully down, every incoming request still attempts the full retry sequence (up to 30s), consuming connections and spiking latency. No circuit breaker short-circuits requests during a known outage.\n\n## Proposed Solution\nAfter N consecutive Zoho failures within T seconds, trip a circuit breaker that returns cached/fallback responses for reads or 'temporarily unavailable' for writes, for a cooldown period.\n\n## Acceptance Criteria\n- [ ] Circuit breaker trips after 5 consecutive failures within 60 seconds\n- [ ] Read endpoints serve stale cached data during open circuit\n- [ ] Write endpoints return 503 with descriptive message\n- [ ] Circuit auto-resets after 30-second cooldown with a probe request\n- [ ] Circuit state visible on `/health` endpoint\n- [ ] Unit tests for trip, reset, and half-open states\n\n## References\n- `zoho-middleware/lib/zoho-api.js`\n- system-design-assessment.md §2.5","priority:medium,area:reliability,source:system-design"
"[P2] Implement webhook-driven inventory sync from Zoho","## Problem\nProduct catalog updates rely on cron-based cache warm-ups (5am/1pm UTC) with a 60s TTL. Items that sell out in-store may still appear available on the website for up to 60 seconds after cache expiry.\n\n## Proposed Solution\nRegister Zoho webhooks for inventory item create/update/delete events. On webhook, invalidate and re-fetch only the affected items. Keep the cron warm-up as a safety net.\n\n## Acceptance Criteria\n- [ ] `POST /api/webhooks/zoho` endpoint with HMAC signature verification\n- [ ] Item update webhook invalidates Redis cache for the affected item\n- [ ] Item delete webhook removes from Redis cache\n- [ ] Cron warm-up retained as fallback\n- [ ] Webhook endpoint rate-limited and logging\n\n## References\n- `zoho-middleware/routes/catalog.js`\n- system-design-assessment.md §5.1","priority:medium,area:feature,source:system-design"
"[P2] Add npm audit to CI pipeline","## Problem\nNo automated dependency vulnerability scanning exists in the CI pipeline. Vulnerable packages could ship to production undetected.\n\n## Acceptance Criteria\n- [ ] `npm audit --audit-level=high` added to both root and zoho-middleware CI steps\n- [ ] CI fails on high/critical vulnerabilities\n- [ ] Document exception process for known false positives\n\n## References\n- `.github/workflows/tests.yml`\n- system-design-assessment.md §3","priority:medium,area:security,source:system-design"
"[P2] Log warning when fetchAllItems hits MAX_PAGES pagination cap","## Problem\n`fetchAllItems` in `zoho-api.js` caps at MAX_PAGES=50 (1000 items). If inventory grows beyond this, the catalog silently truncates with no warning.\n\n## Acceptance Criteria\n- [ ] Log `WARN` when `MAX_PAGES` is reached\n- [ ] Add catalog item count to `/health` endpoint\n- [ ] Consider increasing or removing the cap\n\n## References\n- `zoho-middleware/lib/zoho-api.js`\n- system-design-assessment.md §2.6","priority:medium,area:reliability,source:system-design"
"[P3] Implement real-time order status via Server-Sent Events","## Problem\nAfter checkout, customers have no visibility into order fulfillment or fermentation progress. They must contact the shop for updates.\n\n## Proposed Solution\nAdd an SSE endpoint that streams order status updates. Zoho workflow rules trigger webhooks on status changes, middleware publishes to Redis Pub/Sub, SSE endpoint subscribes and streams to client.\n\n## Acceptance Criteria\n- [ ] `GET /api/orders/:id/stream` SSE endpoint\n- [ ] Redis Pub/Sub channel per order ID\n- [ ] Frontend status tracker component on order confirmation page\n- [ ] Graceful fallback to polling when SSE is unavailable\n\n## References\n- system-design-assessment.md §5.2","priority:low,area:feature,source:system-design"
"[P3] Build predictive stock alert system","## Problem\nStock levels are managed manually in Zoho with no automated alerting when popular items are running low.\n\n## Proposed Solution\nTrack sales velocity per product and predict when stock will hit zero. Alert shop owner when days_remaining < threshold.\n\n## Acceptance Criteria\n- [ ] Sales events logged per item on checkout\n- [ ] Weekly cron calculates 7-day and 30-day moving average sales rates\n- [ ] Alert email when days_remaining < 7\n- [ ] Restock recommendations visible on admin dashboard\n\n## References\n- system-design-assessment.md §5.3","priority:low,area:feature,source:system-design"
"[P3] Add smart booking time suggestions based on historical data","## Problem\nCustomers pick ferment-in-store booking times with no guidance on optimal availability, leading to clustering on popular times.\n\n## Proposed Solution\nAnalyze historical booking data to identify low-utilization time slots and surface 'Best times this week' suggestions on the reservation page.\n\n## Acceptance Criteria\n- [ ] Booking frequency heatmap by day-of-week and hour\n- [ ] 'Recommended times' badges on low-utilization slots\n- [ ] Optional off-peak incentive support\n\n## References\n- system-design-assessment.md §5.4","priority:low,area:feature,source:system-design"
"[P4] Implement customer loyalty and rewards system","## Problem\nNo loyalty program exists. Repeat customers receive no recognition or incentive to return.\n\n## Proposed Solution\nTrack purchase history via Zoho custom fields on the Contact object. Implement a points-based system where points accumulate per dollar spent and can be redeemed for discounts or products.\n\n## Acceptance Criteria\n- [ ] `loyalty_points` custom field on Zoho Contact\n- [ ] Points increment on completed checkout\n- [ ] `/api/loyalty/:email` endpoint returns balance and available rewards\n- [ ] Frontend rewards section on checkout page\n- [ ] Reward redemption deducts points and applies discount to Zoho sales order\n\n## References\n- system-design-assessment.md §5.6","priority:low,area:feature,source:system-design"
